,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
97,87,B001MX89Y8,4.4,664,7,4,2,7.99,0,25,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,101.0
98,82,B00VVMBRIK,4.8,752,27,7,1,19.97,56,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,79.0
99,81,B015O21XPE,3.9,486,9,15,1,6.76,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
100,59,B002RUH3OM,4.7,1554,53,7,0,7.95,43,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,2.0,0.0,72.0
101,55,B01ESRUYB0,4.4,222,11,1425,0,13.93,76,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,98.0
102,46,B000VSG1PO,4.1,1100,40,4,0,18.85,0,1,0,1,0,0,0,0,0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,45.0
103,53,B01LONJ2RS,4.5,81,3,0,0,13.95,53,1,0,1,0,0,0,0,0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,44.0
104,56,B00CAF7RMW,4.4,286,25,1,0,15.95,60,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,62.0
105,41,B00HSE4WJ6,4.3,1374,77,3680,0,7.99,50,1,0,1,0,0,0,0,0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,38.0
106,50,B00T2VV6O2,4.6,1239,77,22,0,40.48,6,28,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,53.0
107,58,B008B9Y0EY,4.6,1808,109,76,0,9.85,30,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,51.0
108,51,B002RSCP9W,4.6,1456,57,15,0,9.95,58,1,0,1,0,0,0,0,0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0
109,42,B01BC02L6M,3.4,6,0,0,0,2.49,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,71.0
110,45,B014Q8YMCI,4.4,989,22,7,1,28.5,0,1,0,1,0,0,0,0,0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0
111,43,B000XED3JS,4.2,168,0,0,0,26.82,8,36,0,1,0,0,0,0,0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,36.0
112,57,B0058SY1X6,4.1,1619,155,17,0,59.99,14,9,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,42.0
113,52,B01DV4YQLU,4.7,279,11,0,0,8.95,31,3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,0.0,0.0,54.0
114,49,B01FJ9GE74,4.6,236,15,0,3,29.99,0,1,0,1,0,0,0,0,0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0
115,60,B00JVZGO3W,4.5,170,16,4,2,7.75,0,6,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,55.0
116,48,B00WF6VFSS,4.6,1388,36,8,0,19.97,50,1,0,1,0,0,0,0,0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,43.0
